name,position,nationality,team,season
Conor Masterson,Defender,Ireland,Liverpool,2017/18
Curtis Jones,Midfielder,England,Liverpool,2017/18
Rafael Camacho,Midfielder,Portugal,Liverpool,2017/18
Pablo Maffeo,Defender,Argentina,Manchester City,2017/18
Kieran O'Hara,Goalkeeper,Ireland,Manchester United,2017/18
David de Gea,Goalkeeper,Spain,Manchester United,2017/18
Sergio Romero,Goalkeeper,Argentina,Manchester United,2017/18
Sam Johnstone,Goalkeeper,England,Manchester United,2017/18
Dean Henderson,Goalkeeper,England,Manchester United,2017/18
Joel Pereira,Goalkeeper,Portugal,Manchester United,2017/18
Eric Bailly,Defender,Cote D’Ivoire,Manchester United,2017/18
Phil Jones,Defender,England,Manchester United,2017/18
Marcos Rojo,Defender,Argentina,Manchester United,2017/18
Chris Smalling,Defender,England,Manchester United,2017/18
Daley Blind,Defender,Netherlands,Manchester United,2017/18
Luke Shaw,Defender,England,Manchester United,2017/18
Antonio Valencia,Defender,Ecuador,Manchester United,2017/18
Demetri Mitchell,Defender,England,Manchester United,2017/18
Matteo Darmian,Defender,Italy,Manchester United,2017/18
Axel Tuanzebe,Defender,DR Congo,Manchester United,2017/18
Paul Pogba,Midfielder,France,Manchester United,2017/18
Juan Mata,Midfielder,Spain,Manchester United,2017/18
Jesse Lingard,Midfielder,England,Manchester United,2017/18
Adnan Januzaj,Midfielder,Belgium,Manchester United,2017/18
Michael Carrick,Midfielder,England,Manchester United,2017/18
Ashley Young,Defender,England,Manchester United,2017/18
Ander Herrera,Midfielder,Spain,Manchester United,2017/18
Henrikh Mkhitaryan,Midfielder,Armenia,Manchester United,2017/18
Marouane Fellaini,Midfielder,Belgium,Manchester United,2017/18
Scott McTominay,Midfielder,Scotland,Manchester United,2017/18
Matty Willock,Midfielder,England,Manchester United,2017/18
Angel Gomes,Midfielder,England,Manchester United,2017/18
Zachary Dearnley,Midfielder,England,Manchester United,2017/18
Anthony Martial,Forward,France,Manchester United,2017/18
Marcus Rashford,Forward,England,Manchester United,2017/18
Guillermo Varela,Defender,Uruguay,Manchester United,2017/18
Cameron Borthwick-Jackson,Defender,England,Manchester United,2017/18
Andreas Pereira,Midfielder,Brazil,Manchester United,2017/18
Romelu Lukaku,Forward,Belgium,Manchester United,2017/18
Nemanja Matic,Midfielder,Serbia,Manchester United,2017/18
Zlatan Ibrahimovic,Forward,Sweden,Manchester United,2017/18
Alexis Sánchez,Forward,Chile,Manchester United,2017/18
Ethan Hamilton,Forward,Scotland,Manchester United,2017/18
Jack Butland,Goalkeeper,England,Stoke City,2017/18
Jakob Haugaard,Goalkeeper,Denmark,Stoke City,2017/18
Lee Grant,Goalkeeper,England,Stoke City,2017/18
Erik Pieters,Defender,Netherlands,Stoke City,2017/18
Muniesa,Defender,Spain,Stoke City,2017/18
Glen Johnson,Defender,England,Stoke City,2017/18
Ryan Shawcross,Defender,England,Stoke City,2017/18
Geoff Cameron,Defender,United States,Stoke City,2017/18
Philipp Wollscheid,Defender,Germany,Stoke City,2017/18
Tom Edwards,Defender,England,Stoke City,2017/18
Joe Allen,Midfielder,Wales,Stoke City,2017/18
Glenn Whelan,Midfielder,Ireland,Stoke City,2017/18
Stephen Ireland,Midfielder,Ireland,Stoke City,2017/18
Ibrahim Afellay,Midfielder,Netherlands,Stoke City,2017/18
Charlie Adam,Midfielder,Scotland,Stoke City,2017/18
Giannelli Imbula,Midfielder,DR Congo,Stoke City,2017/18
Xherdan Shaqiri,Midfielder,Switzerland,Stoke City,2017/18
Moha,Midfielder,Spain,Stoke City,2017/18
Ramadan Sobhi,Midfielder,Egypt,Stoke City,2017/18
Joselu,Forward,Spain,Stoke City,2017/18
Saido Berahino,Forward,Burundi,Stoke City,2017/18
Mame Diouf,Forward,Senegal,Stoke City,2017/18
Peter Crouch,Forward,England,Stoke City,2017/18
Bojan,Forward,Spain,Stoke City,2017/18
Julien Ngoy,Forward,Belgium,Stoke City,2017/18
Thibaud Verlinden,Midfielder,Belgium,Stoke City,2017/18
Josh Tymon,Defender,England,Stoke City,2017/18
Oliver Shenton,Midfielder,England,Stoke City,2017/18
Kurt Zouma,Defender,France,Stoke City,2017/18
Ryan Sweeney,Defender,Ireland,Stoke City,2017/18
Harry Souttar,Defender,Australia,Stoke City,2017/18
Eric Choupo-Moting,Midfielder,Cameroon,Stoke City,2017/18
Daniel Gyollai,Goalkeeper,Hungary,Stoke City,2017/18
Mark Waddington,Midfielder,England,Stoke City,2017/18
Lewis Banks,Defender,England,Stoke City,2017/18
Tyrese Campbell,Forward,England,Stoke City,2017/18
Ryan Hill,Midfielder,England,Stoke City,2017/18
Trevoh Chalobah,Defender,England,Chelsea,2017/18
Wayne Hennessey,Goalkeeper,Wales,Crystal Palace,2017/18
Steve Mandanda,Goalkeeper,France,Crystal Palace,2017/18
Kleton Perntreou,Goalkeeper,Greece,Crystal Palace,2017/18
Joel Ward,Defender,England,Crystal Palace,2017/18
Patrick van Aanholt,Defender,Netherlands,Crystal Palace,2017/18
James Tomkins,Defender,England,Crystal Palace,2017/18
Scott Dann,Defender,England,Crystal Palace,2017/18
Pape Souaré,Defender,Senegal,Crystal Palace,2017/18
Damien Delaney,Defender,Ireland,Crystal Palace,2017/18
Jeffrey Schlupp,Midfielder,Ghana,Crystal Palace,2017/18
Martin Kelly,Defender,England,Crystal Palace,2017/18
Yohan Cabaye,Midfielder,France,Crystal Palace,2017/18
Andros Townsend,Midfielder,England,Crystal Palace,2017/18
Wilfried Zaha,Forward,Cote D’Ivoire,Crystal Palace,2017/18
Lee Chung-Yong,Midfielder,South Korea,Crystal Palace,2017/18
James McArthur,Midfielder,Scotland,Crystal Palace,2017/18
Jonny Williams,Midfielder,Wales,Crystal Palace,2017/18
Sullay Kaikai,Midfielder,Sierra Leone,Crystal Palace,2017/18
Bakary Sako,Forward,Mali,Crystal Palace,2017/18
Luka Milivojevic,Midfielder,Serbia,Crystal Palace,2017/18
Jason Puncheon,Midfielder,England,Crystal Palace,2017/18
Aaron Wan-Bissaka,Midfielder,England,Crystal Palace,2017/18
Christian Benteke,Forward,Belgium,Crystal Palace,2017/18
Connor Wickham,Forward,England,Crystal Palace,2017/18
Freddie Ladapo,Forward,England,Crystal Palace,2017/18
Hiram Boateng,Midfielder,England,Crystal Palace,2017/18
Jordon Mutch,Midfielder,England,Crystal Palace,2017/18
Keshi Anderson,Forward,England,Crystal Palace,2017/18
Ruben Loftus-Cheek,Midfielder,England,Crystal Palace,2017/18
Nya Kirby,Midfielder,England,Crystal Palace,2017/18
Jairo Riedewald,Midfielder,Netherlands,Crystal Palace,2017/18
Timothy Fosu-Mensah,Defender,Netherlands,Crystal Palace,2017/18
Jason Lokilo,Midfielder,DR Congo,Crystal Palace,2017/18
Mamadou Sakho,Defender,France,Crystal Palace,2017/18
Levi Lumeka,Forward,England,Crystal Palace,2017/18
Ryan Inniss,Defender,England,Crystal Palace,2017/18
Dion Henry,Goalkeeper,England,Crystal Palace,2017/18
Michael Phillips,Defender,England,Crystal Palace,2017/18
Erdal Rakip,Midfielder,North Macedonia,Crystal Palace,2017/18
Jaroslaw Jach,Defender,Poland,Crystal Palace,2017/18
Alexander Sørloth,Forward,Norway,Crystal Palace,2017/18
Diego Cavalieri,Goalkeeper,Brazil,Crystal Palace,2017/18
James Daly,Forward,England,Crystal Palace,2017/18
Bruno Martins Indi,Defender,Netherlands,Stoke City,2017/18
Jesé,Forward,Spain,Stoke City,2017/18
Kevin Wimmer,Defender,Austria,Stoke City,2017/18
Moritz Bauer,Defender,Austria,Stoke City,2017/18
Konstantinos Stafylidis,Defender,Greece,Stoke City,2017/18
Badou Ndiaye,Midfielder,Senegal,Stoke City,2017/18
Lasse Sørensen,Midfielder,Denmark,Stoke City,2017/18
Lukasz Fabianski,Goalkeeper,Poland,Swansea City,2017/18
Kristoffer Nordfeldt,Goalkeeper,Sweden,Swansea City,2017/18
Mark Birighitti,Goalkeeper,Australia,Swansea City,2017/18
Jordi Amat,Defender,Indonesia,Swansea City,2017/18
Mike van der Hoorn,Defender,Netherlands,Swansea City,2017/18
Alfie Mawson,Defender,England,Swansea City,2017/18
Martin Olsson,Defender,Sweden,Swansea City,2017/18
Angel Rangel,Defender,Spain,Swansea City,2017/18
Kyle Naughton,Defender,England,Swansea City,2017/18
Kyle Bartley,Defender,England,Swansea City,2017/18
Robert Elliot,Goalkeeper,Ireland,Newcastle United,2017/18
Karl Darlow,Goalkeeper,Wales,Newcastle United,2017/18
Matz Sels,Goalkeeper,Belgium,Newcastle United,2017/18
Ciaran Clark,Defender,Ireland,Newcastle United,2017/18
Paul Dummett,Defender,Wales,Newcastle United,2017/18
Grant Hanley,Defender,Scotland,Newcastle United,2017/18
Jamaal Lascelles,Defender,England,Newcastle United,2017/18
Achraf Lazaar,Defender,Morocco,Newcastle United,2017/18
Chancel Mbemba,Defender,DR Congo,Newcastle United,2017/18
Massadio Haïdara,Defender,Mali,Newcastle United,2017/18
DeAndre Yedlin,Defender,United States,Newcastle United,2017/18
Jesús Gámez,Defender,Spain,Newcastle United,2017/18
Stuart Findlay,Defender,Scotland,Newcastle United,2017/18
Curtis Good,Defender,Australia,Newcastle United,2017/18
Jack Colback,Midfielder,England,Newcastle United,2017/18
Federico Fernández,Defender,Argentina,Swansea City,2017/18
Stephen Kingsley,Defender,Scotland,Swansea City,2017/18
Ki Sung-Yeung,Midfielder,South Korea,Swansea City,2017/18
Leon Britton,Midfielder,England,Swansea City,2017/18
Leroy Fer,Midfielder,Netherlands,Swansea City,2017/18
Nathan Dyer,Midfielder,England,Swansea City,2017/18
Wayne Routledge,Midfielder,England,Swansea City,2017/18
Jefferson Montero,Midfielder,Ecuador,Swansea City,2017/18
Matt Grimes,Midfielder,England,Swansea City,2017/18
Gylfi Sigurdsson,Midfielder,Iceland,Swansea City,2017/18
Luciano Narsingh,Midfielder,Netherlands,Swansea City,2017/18
Tom Carroll,Midfielder,England,Swansea City,2017/18
Jay Fulton,Midfielder,Scotland,Swansea City,2017/18
Jordan Ayew,Forward,Ghana,Swansea City,2017/18
Fernando Llorente,Forward,Spain,Swansea City,2017/18
Borja Bastón,Forward,Spain,Swansea City,2017/18
Tammy Abraham,Forward,England,Swansea City,2017/18
Roque Mesa,Midfielder,Spain,Swansea City,2017/18
Vurnon Anita,Midfielder,Curacao,Newcastle United,2017/18
Matt Ritchie,Midfielder,Scotland,Newcastle United,2017/18
Jonjo Shelvey,Midfielder,England,Newcastle United,2017/18
Isaac Hayden,Midfielder,England,Newcastle United,2017/18
Mohamed Diamé,Midfielder,Senegal,Newcastle United,2017/18
Rolando Aarons,Midfielder,Jamaica,Newcastle United,2017/18
Yoan Gouffran,Midfielder,France,Newcastle United,2017/18
Henri Saivet,Midfielder,Senegal,Newcastle United,2017/18
Daniel Barlaser,Midfielder,England,Newcastle United,2017/18
Yasin Ben El-Mhanni,Midfielder,England,Newcastle United,2017/18
Dwight Gayle,Forward,England,Newcastle United,2017/18
Ayoze Pérez,Forward,Spain,Newcastle United,2017/18
Daryl Murphy,Forward,Ireland,Newcastle United,2017/18
Aleksandar Mitrovic,Forward,Serbia,Newcastle United,2017/18
Florian Lejeune,Defender,France,Newcastle United,2017/18
Josef Yarney,Defender,England,Newcastle United,2017/18
Stefan O'Connor,Defender,England,Newcastle United,2017/18
Jacob Murphy,Midfielder,England,Newcastle United,2017/18
Javier Manquillo,Defender,Spain,Newcastle United,2017/18
Mikel Merino,Midfielder,Spain,Newcastle United,2017/18
Joselu,Forward,Spain,Newcastle United,2017/18
Tim Krul,Goalkeeper,Netherlands,Newcastle United,2017/18
Siem de Jong,Midfielder,Netherlands,Newcastle United,2017/18
Emmanuel Rivière,Forward,Martinique,Newcastle United,2017/18
Jamie Sterry,Defender,England,Newcastle United,2017/18
Freddie Woodman,Goalkeeper,England,Newcastle United,2017/18
Kenedy,Midfielder,Brazil,Newcastle United,2017/18
Modou Barrow,Forward,Gambia,Swansea City,2017/18
Sam Clucas,Midfielder,England,Swansea City,2017/18
Courtney Baker-Richardson,Forward,England,Swansea City,2017/18
Adam King,Midfielder,Scotland,Swansea City,2017/18
Renato Sanches,Midfielder,Portugal,Swansea City,2017/18
Wilfried Bony,Forward,Cote D’Ivoire,Swansea City,2017/18
Joe Rodon,Defender,Wales,Swansea City,2017/18
Brandon Cooper,Defender,Wales,Swansea City,2017/18
Connor Roberts,Defender,Wales,Swansea City,2017/18
André Ayew,Forward,Ghana,Swansea City,2017/18
Andy King,Midfielder,Wales,Swansea City,2017/18
Adnan Maric,Midfielder,Sweden,Swansea City,2017/18
Daniel James,Midfielder,Wales,Swansea City,2017/18
Oliver McBurnie,Forward,Scotland,Swansea City,2017/18
George Byers,Midfielder,Scotland,Swansea City,2017/18
Islam Slimani,Forward,Algeria,Newcastle United,2017/18
Martin Dúbravka,Goalkeeper,Slovakia,Newcastle United,2017/18
Hugo Lloris,Goalkeeper,France,Tottenham Hotspur,2017/18
Michel Vorm,Goalkeeper,Netherlands,Tottenham Hotspur,2017/18
Alfie Whiteman,Goalkeeper,England,Tottenham Hotspur,2017/18
Danny Rose,Defender,England,Tottenham Hotspur,2017/18
Kyle Walker,Defender,England,Tottenham Hotspur,2017/18
Toby Alderweireld,Defender,Belgium,Tottenham Hotspur,2017/18
Jan Vertonghen,Defender,Belgium,Tottenham Hotspur,2017/18
Kieran Trippier,Defender,England,Tottenham Hotspur,2017/18
Kevin Wimmer,Defender,Austria,Tottenham Hotspur,2017/18
Ben Davies,Defender,Wales,Tottenham Hotspur,2017/18
Kyle Walker-Peters,Defender,England,Tottenham Hotspur,2017/18
Cameron Carter-Vickers,Defender,United States,Tottenham Hotspur,2017/18
Son Heung-Min,Forward,South Korea,Tottenham Hotspur,2017/18
Érik Lamela,Midfielder,Argentina,Tottenham Hotspur,2017/18
Victor Wanyama,Midfielder,Kenya,Tottenham Hotspur,2017/18
Georges-Kévin Nkoudou,Midfielder,Cameroon,Tottenham Hotspur,2017/18
Eric Dier,Defender,England,Tottenham Hotspur,2017/18
Moussa Sissoko,Midfielder,France,Tottenham Hotspur,2017/18
Mousa Dembélé,Midfielder,Belgium,Tottenham Hotspur,2017/18
Dele Alli,Midfielder,England,Tottenham Hotspur,2017/18
Christian Eriksen,Midfielder,Denmark,Tottenham Hotspur,2017/18
Josh Onomah,Midfielder,England,Tottenham Hotspur,2017/18
Harry Winks,Midfielder,England,Tottenham Hotspur,2017/18
Filip Lesniak,Midfielder,Slovakia,Tottenham Hotspur,2017/18
Luke Amos,Midfielder,England,Tottenham Hotspur,2017/18
Will Miller,Midfielder,England,Tottenham Hotspur,2017/18
Marcus Edwards,Midfielder,England,Tottenham Hotspur,2017/18
Vincent Janssen,Forward,Netherlands,Tottenham Hotspur,2017/18
Harry Kane,Forward,England,Tottenham Hotspur,2017/18
Clinton N'Jie,Forward,Cameroon,Tottenham Hotspur,2017/18
Adam Armstrong,Forward,England,Newcastle United,2017/18
Fraser Forster,Goalkeeper,England,Southampton,2017/18
Alex McCarthy,Goalkeeper,England,Southampton,2017/18
Paulo Gazzaniga,Goalkeeper,Argentina,Southampton,2017/18
Stuart Taylor,Goalkeeper,England,Southampton,2017/18
Harry Lewis,Goalkeeper,England,Southampton,2017/18
Cédric Soares,Defender,Portugal,Southampton,2017/18
Maya Yoshida,Defender,Japan,Southampton,2017/18
Florin Gardos,Defender,Romania,Southampton,2017/18
Virgil van Dijk,Defender,Netherlands,Southampton,2017/18
Ryan Bertrand,Defender,England,Southampton,2017/18
Jack Stephens,Defender,England,Southampton,2017/18
Jérémy Pied,Defender,France,Southampton,2017/18
Matt Targett,Defender,England,Southampton,2017/18
Sam McQueen,Defender,England,Southampton,2017/18
Jordy Clasie,Midfielder,Netherlands,Southampton,2017/18
Steven Davis,Midfielder,Northern Ireland,Southampton,2017/18
Dusan Tadic,Midfielder,Serbia,Southampton,2017/18
Oriol Romeu,Midfielder,Spain,Southampton,2017/18
James Ward-Prowse,Midfielder,England,Southampton,2017/18
Harrison Reed,Midfielder,England,Southampton,2017/18
Sofiane Boufal,Midfielder,Morocco,Southampton,2017/18
Nathan Redmond,Midfielder,England,Southampton,2017/18
Pierre-Emile Højbjerg,Midfielder,Denmark,Southampton,2017/18
Josh Sims,Midfielder,England,Southampton,2017/18
Jake Hesketh,Midfielder,England,Southampton,2017/18
Shane Long,Forward,Ireland,Southampton,2017/18
Charlie Austin,Forward,England,Southampton,2017/18
Manolo Gabbiadini,Forward,Italy,Southampton,2017/18
Olufela Olomola,Forward,England,Southampton,2017/18
Samuel Shashoua,Forward,England,Tottenham Hotspur,2017/18
Brandon Austin,Goalkeeper,England,Tottenham Hotspur,2017/18
Jaden Brown,Defender,England,Tottenham Hotspur,2017/18
Jonathan Dinzeyi,Defender,England,Tottenham Hotspur,2017/18
Anthony Georgiou,Midfielder,Cyprus,Tottenham Hotspur,2017/18
Tashan Oakley-Boothe,Midfielder,England,Tottenham Hotspur,2017/18
Davinson Sánchez,Defender,Colombia,Tottenham Hotspur,2017/18
Paulo Gazzaniga,Goalkeeper,Argentina,Tottenham Hotspur,2017/18
Juan Foyth,Defender,Argentina,Tottenham Hotspur,2017/18
Sèrge Aurier,Defender,Cote D’Ivoire,Tottenham Hotspur,2017/18
Fernando Llorente,Forward,Spain,Tottenham Hotspur,2017/18
Anton Walkes,Defender,England,Tottenham Hotspur,2017/18
Sam Gallagher,Forward,England,Southampton,2017/18
Mario Lemina,Midfielder,Gabon,Southampton,2017/18
Wesley Hoedt,Defender,Netherlands,Southampton,2017/18
Michael Obafemi,Forward,Ireland,Southampton,2017/18
Guido Carrillo,Forward,Argentina,Southampton,2017/18
Lucas Moura,Forward,Brazil,Tottenham Hotspur,2017/18
Tom Cleverley,Midfielder,England,Watford,2017/18
Will Hughes,Midfielder,England,Watford,2017/18
Heurelho Gomes,Goalkeeper,Brazil,Watford,2017/18
Costel Pantilimon,Goalkeeper,Romania,Watford,2017/18
Giedrius Arlauskis,Goalkeeper,Lithuania,Watford,2017/18
Miguel Britos,Defender,Uruguay,Watford,2017/18
Younes Kaboul,Defender,France,Watford,2017/18
Sebastian Prödl,Defender,Austria,Watford,2017/18
Adrian Mariappa,Defender,Jamaica,Watford,2017/18
Juan Carlos Paredes,Defender,Ecuador,Watford,2017/18
Craig Cathcart,Defender,Northern Ireland,Watford,2017/18
Kiko Femenía,Defender,Spain,Watford,2017/18
Daryl Janmaat,Defender,Netherlands,Watford,2017/18
José Holebas,Defender,Greece,Watford,2017/18
Brice Dja Djédjé,Defender,Cote D’Ivoire,Watford,2017/18
Christian Kabasele,Defender,Belgium,Watford,2017/18
Brandon Mason,Defender,England,Watford,2017/18
Charlie Rowan,Defender,England,Watford,2017/18
Andrew Eleftheriou,Defender,England,Watford,2017/18
Mario Suárez,Midfielder,Spain,Watford,2017/18
Nordin Amrabat,Midfielder,Morocco,Watford,2017/18
Abdoulaye Doucouré,Midfielder,Mali,Watford,2017/18
Valon Behrami,Midfielder,Switzerland,Watford,2017/18
Ben Watson,Midfielder,England,Watford,2017/18
Étienne Capoue,Midfielder,France,Watford,2017/18
Carl Stewart,Midfielder,England,Watford,2017/18
Roberto Pereyra,Midfielder,Argentina,Watford,2017/18
Dion Pereira,Midfielder,Antigua & Barbuda,Watford,2017/18
Adalberto Peñaranda,Forward,Venezuela,Watford,2017/18
Troy Deeney,Forward,England,Watford,2017/18
Jerome Sinclair,Forward,England,Watford,2017/18
Isaac Success,Forward,Nigeria,Watford,2017/18
Steven Berghuis,Forward,Netherlands,Watford,2017/18
Mauro Zárate,Forward,Argentina,Watford,2017/18
Stefano Okaka,Forward,Italy,Watford,2017/18
Michael Folivi,Forward,England,Watford,2017/18
Nathaniel Chalobah,Midfielder,England,Watford,2017/18
Tommie Hoban,Defender,Ireland,Watford,2017/18
Richarlison,Forward,Brazil,Watford,2017/18
Andre Gray,Forward,Jamaica,Watford,2017/18
André Carrillo,Midfielder,Peru,Watford,2017/18
Dimitri Foulquier,Defender,Guadeloupe,Watford,2017/18
Orestis Karnezis,Goalkeeper,Greece,Watford,2017/18
Molla Wagué,Defender,Mali,Watford,2017/18
Marvin Zeegelaar,Defender,Netherlands,Watford,2017/18
Gerard Deulofeu,Forward,Spain,Watford,2017/18
Dodi Lukébakio,Midfielder,Belgium,Watford,2017/18
Didier Ndong,Midfielder,Gabon,Watford,2017/18
Pontus Dahlberg,Goalkeeper,Sweden,Watford,2017/18
Joy Mukena,Defender,England,Watford,2017/18
David Ospina,Goalkeeper,Colombia,Arsenal,2016/17
Petr Cech,Goalkeeper,Czech Republic,Arsenal,2016/17
Matt Macey,Goalkeeper,England,Arsenal,2016/17
Mathieu Debuchy,Defender,France,Arsenal,2016/17
Kieran Gibbs,Defender,England,Arsenal,2016/17
Per Mertesacker,Defender,Germany,Arsenal,2016/17
Gabriel Paulista,Defender,Brazil,Arsenal,2016/17
Laurent Koscielny,Defender,France,Arsenal,2016/17
Nacho Monreal,Defender,Spain,Arsenal,2016/17
Calum Chambers,Defender,England,Arsenal,2016/17
Héctor Bellerín,Defender,Spain,Arsenal,2016/17
Carl Jenkinson,Defender,England,Arsenal,2016/17
Tomas Rosicky,Midfielder,Czech Republic,Arsenal,2016/17
Mikel Arteta,Midfielder,Spain,Arsenal,2016/17
Mesut Özil,Midfielder,Germany,Arsenal,2016/17
Alex Oxlade-Chamberlain,Midfielder,England,Arsenal,2016/17
Aaron Ramsey,Midfielder,Wales,Arsenal,2016/17
Santi Cazorla,Midfielder,Spain,Arsenal,2016/17
Mathieu Flamini,Midfielder,France,Arsenal,2016/17
Serge Gnabry,Midfielder,Germany,Arsenal,2016/17
Francis Coquelin,Midfielder,France,Arsenal,2016/17
Mohamed Elneny,Midfielder,Egypt,Arsenal,2016/17
Ismaël Bennacer,Midfielder,Algeria,Arsenal,2016/17
